source_modality,target_modality,mean_E_forward,sd_E_forward,k_edge,cross_modality_r,model
m3,m5,23.674055,28.158200,12,0.537000,RandEdge
m3,m6,19.189650,14.217041,10,-0.279000,RandEdge
m3,m7,19.506297,26.840262,9,0.752000,RandEdge
m4,m1,14.447889,14.480985,9,-0.053000,RandEdge
m4,m2,22.471532,24.329129,9,0.474000,RandEdge
m4,m3,21.281264,17.272772,9,-0.411000,RandEdge
m4,m5,15.798555,10.891908,9,-0.250000,RandEdge
m4,m6,19.922393,11.512035,9,-0.203000,RandEdge
m4,m7,18.418498,15.348627,9,-0.286000,RandEdge
m5,m1,34.630285,53.663428,15,0.704000,RandEdge
m5,m2,22.476111,30.332690,13,-0.537000,RandEdge
m5,m3,23.435136,28.154104,12,0.537000,RandEdge
m5,m4,16.510182,13.245313,9,-0.250000,RandEdge
m5,m6,20.427809,13.665593,10,-0.085000,RandEdge
m5,m7,18.414431,23.724612,9,0.656000,RandEdge
m6,m1,20.679009,19.375296,10,0.103000,RandEdge
m6,m2,21.541176,18.901159,10,0.383000,RandEdge
m6,m3,22.762297,16.974272,10,-0.279000,RandEdge
m6,m4,17.246675,8.415560,9,-0.203000,RandEdge
m6,m5,20.075161,12.816454,10,-0.085000,RandEdge
m6,m7,19.016573,15.374295,9,-0.215000,RandEdge
m7,m1,15.020157,18.913423,9,0.587000,RandEdge
m7,m2,16.039119,25.861285,9,-0.742000,RandEdge
m7,m3,20.602824,31.301914,9,0.752000,RandEdge
m7,m4,18.264137,17.610867,9,-0.286000,RandEdge
m7,m5,19.488275,24.114754,9,0.656000,RandEdge
m7,m6,18.421603,15.201466,9,-0.215000,RandEdge
