particle_key,o2,o2_label,particle_label,feature,modality,mean,std,median,q25,q75,n_valid
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_ripley_K_2.0um,Spatial Distribution,156.55332555620987,6.431474142639371,155.9024855377852,151.57696034989073,161.62022359090236,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_ripley_L_0.5um,Spatial Distribution,1.6273117668744463,0.041607118300776486,1.6224763234284139,1.6015723558663955,1.6517167386347897,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_ripley_L_1.0um,Spatial Distribution,1.6874996270630649,0.03954206926526635,1.6892545280499394,1.6626052676313208,1.7160024235521145,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_ripley_L_1.5um,Spatial Distribution,1.5596543564158551,0.04119378822420166,1.5587979157899128,1.5304205957659047,1.5866456472625234,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_ripley_L_2.0um,Spatial Distribution,1.3427964252260884,0.04573370979790011,1.3387823024631764,1.307614303330179,1.3791101432859103,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_std_x_um,Spatial Distribution,0.25866581023169366,0.07571149936471448,0.24079594624344428,0.20008668316226996,0.3060459566511553,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_std_y_um,Spatial Distribution,0.28124408428451103,0.07318291207686321,0.2762880601366039,0.22405068322963712,0.34598839608965626,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m1_std_z_um,Spatial Distribution,2.6736084647773146,0.13393045958408406,2.6750725079630318,2.5773295532447715,2.7519061085737526,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_axial_radial_ratio,Radial Track Structure,7.77156777683359,1.824250412684097,7.50886552964335,6.614197858838232,8.645800859918321,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_complexity_r_spearman,Radial Track Structure,-0.04522682265973846,0.061658297017794364,-0.041357187272293094,-0.07577033122581774,-0.0022401355260273726,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_frac_r_lt_0.5um,Radial Track Structure,0.9534418489215486,0.013857523382861685,0.9527057245080501,0.9471595655806182,0.9633814783347494,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_frac_r_lt_1.0um,Radial Track Structure,0.971994113073293,0.00901734964031796,0.9715909090909091,0.9668478260869565,0.9774642492339121,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_frac_r_lt_1.5um,Radial Track Structure,0.9825256167003503,0.007369891731092611,0.9841440285602722,0.97782691847956,0.9881540697674418,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m2_frac_r_lt_2.0um,Radial Track Structure,0.9875941954205827,0.007222041944693564,0.9887626262626263,0.9844510510668526,0.9941271551724138,50
